"id";"funcloc";"material_number";"equipment_description";"status";"sort_field";"unique_id";"qr_code_link";"created_at";"updated_at"
"EMO000002";"FP-01-CH1-COT-T216-P218";;"MOTOR;3KW;6,64A;4P;380V";"Installed";"PM1.COT.T(LX)2/P(MN)1/M";"603";"https://www.safesave.info/MIC.php?id=Fajar-MotorList603";"2023-10-26 14:45:21";NULL
"EMO000003";"FP-01-CH1-COT-T215-P216";;"MOTOR;7,5KW;16A;4P;380V";"Installed";"PM1.COT.T(LX)1/P(MN)1/M";"601";"https://www.safesave.info/MIC.php?id=Fajar-MotorList601";"2023-10-26 14:45:21";NULL
"EMO000004";"FP-01-CH1-COT-T219-P220";;"MOTOR;11KW;22,6A";"Installed";"PM1.COT.T(CA)3/P1/M";"599";"https://www.safesave.info/MIC.php?id=Fajar-MotorList599";"2023-10-26 14:45:21";NULL
"EMO000005";"FP-01-CH1-COT-T216-P219";;"MOTOR;3KW;6,59A";"Installed";"PM1.COT.T(LX)2/P(MN)2/M";"602";"https://www.safesave.info/MIC.php?id=Fajar-MotorList602";"2023-10-26 14:45:21";NULL
"EMO000007";"FP-01-CH1-COT-T315-P330";;"MOTOR";"Installed";"PM1.COT.T(CACO3)/(FMT)/P1/M";"600";"https://www.safesave.info/MIC.php?id=Fajar-MotorList600";"2023-10-26 14:45:21";NULL
"EMO000009";"FP-01-CH1-COT-SPLY-P333";;"MOTOR";"Installed";"SUPLY PUMP FMT 97/M";"720";"https://www.safesave.info/MIC.php?id=Fajar-MotorList720";"2023-10-26 14:45:21";NULL
"EMO000010";"FP-01-CH1-COT-T219-A082";;"MOTOR;7,5KW;16A";"Installed";"PM1.COT.T(CA)3/AGT/M";"725";"https://www.safesave.info/MIC.php?id=Fajar-MotorList725";"2023-10-26 14:45:21";NULL
"EMO000011";"FP-01-CH1-COT-SPLY-P335";;"MOTOR;15KW;30A,4P,380V";"Installed";"SUPLY PUMP FILLER/M";"721";"https://www.safesave.info/MIC.php?id=Fajar-MotorList721";"2023-10-26 14:45:21";NULL
"EMO000012";"FP-01-CH1-COT-T220-A083";;"MOTOR;7.5KW;15,3A";"Installed";"PM1.COT.T(CA)4/AGT/M";"604";"https://www.safesave.info/MIC.php?id=Fajar-MotorList604";"2023-10-26 14:45:21";NULL
"EMO000020";"FP-01-FN1-CUT-HC01";;"MOTOR";"Installed";"MSN.HAND CUTTER 1/M";"781";"https://www.safesave.info/MIC.php?id=Fajar-MotorList781";"2023-10-26 14:45:21";NULL
"EMO000024";"FP-01-SP3-RJS-RU02";;"MOTOR;37KW";"Installed";"SP3.RJ03A/M";"1811";"https://www.safesave.info/MIC.php?id=Fajar-MotorList1811";"2023-10-21 12:19:21";NULL
"EMO000026";"FP-01-PM3-LUB-T093-P099";"10023877";"AC MOTOR;380V,50Hz,2.2kW,6P,112M,B3";"Installed";"PM3.P/LUB/P3/M";"1945";"https://www.safesave.info/MIC.php?id=Fajar-MotorList1945";"2023-10-21 12:19:21";NULL
"EMO000027";"FP-01-CH1-STA-T232-P236";;"MOTOR;0.75KW";"Installed";"CH1.STA.T1/P1/M";"587";"https://www.safesave.info/MIC.php?id=Fajar-MotorList587";"2023-10-26 14:45:21";NULL
"EMO000030";"FP-01-CH1-STA-T233-P237";;"MOTOR;4KW";"Installed";"CH1.STA.T2/P1/M";"581";"https://www.safesave.info/MIC.php?id=Fajar-MotorList581";"2023-10-26 14:45:21";NULL
"EMO000031";"FP-01-PM1-COT-HAD2-BL17";;"MOTOR AC ASGEN ;75KW;129A;4P;380V";"Installed";"PM1.HAD2.FDF/M";"385";"https://www.safesave.info/MIC.php?id=Fajar-MotorList385";"2023-10-26 14:45:21";NULL
"EMO000032";"FP-01-PM1-AP3-SR30";;"MOTOR AC TECO AEEB ;380V,55KW,4P.380V.B";"Installed";"PM1.APP3.PS1/M";"256";"https://www.safesave.info/MIC.php?id=Fajar-MotorList256";"2023-10-26 14:45:21";NULL
"EMO000035";"FP-01-PM1-STA-T238-P241";;"AC MOTOR;380HZ,50HZ,7.5KW,4P";"Installed";"CH1.STA.T7/P1/M";"333";"https://www.safesave.info/MIC.php?id=Fajar-MotorList333";"2023-10-26 14:45:21";NULL
"EMO000036";"FP-01-SP1-MXW-T050-P057";;"AC MOTOR;ABB 380V,50Hz,132kW,4P,315S,B3";"Installed";"SP1.MW.C4/P6/M";"143";"https://www.safesave.info/MIC.php?id=Fajar-MotorList143";"2023-10-26 14:45:21";NULL
