"id";"tag_name";"created_at";"updated_at"
"AVLB";"SP3.C1/AGT1/M";"2023-10-21 12:19:21";NULL
"FP-01-CH1-ALM-T289-A100";"CH1.ALM.T2/AGT/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-ALM-T289-P309";"CH1.ALM.T2/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-ALM-T289-P310";"CH1.ALM.T2/P2/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-ALM-T290-P311";"CH1.ALM.T3/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-ALM-T301-P325";"CH1.ALM.T1/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-ALM-T301-P326";"CH1.ALM.T1/P2/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-CLA-T293-A102";"CH1.CLA.T1/AGT/GM(CLARIFLOCK)";"2023-10-26 14:45:21";NULL
"FP-01-CH1-CLA-T293-P316";"CH1.CLA.T1/P1/M(CLARIFLOCK)";"2023-10-26 14:45:21";NULL
"FP-01-CH1-CLA-T294-A103";"CH1.CLA.T2/AGT/M(CLARIFLOCK)";"2023-10-26 14:45:21";NULL
"FP-01-CH1-CLA-T294-P317";"CH1.CLA.T2/P1/M(CLARIFLOCK)";"2023-10-26 14:45:21";NULL
"FP-01-CH1-COT-SPLY-P331";"SUPLY PUMP LATEX XQ/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-COT-SPLY-P332";"SUPLY PUMP LATEX DPL/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-COT-SPLY-P333";"SUPLY PUMP FMT 97/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-COT-SPLY-P334";"SUPLY PUMP FMT 60/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-COT-SPLY-P335";"SUPLY PUMP FILLER/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-COT-T215-P216";"PM1.COT.T(LX)1/P(MN)1/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-COT-T215-P217";"PM1.COT.T(LX)1/P(MN)2/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-COT-T216-P218";"PM1.COT.T(LX)2/P(MN)1/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-COT-T216-P219";"PM1.COT.T(LX)2/P(MN)2/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-COT-T217-A080";"PM1.COT.T(CA)1/AGT/GM";"2023-10-26 14:45:21";NULL
"FP-01-CH1-COT-T217-P223";"PM1.COT.T(CA)1/P1&P2/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-COT-T218-A081";"PM1.COT.T(CA)2/AGT/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-COT-T218-P221";"PM1.COT.T(CA)2/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-COT-T219-A082";"PM1.COT.T(CA)3/AGT/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-COT-T219-P220";"PM1.COT.T(CA)3/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-COT-T220-A083";"PM1.COT.T(CA)4/AGT/M";"2023-10-26 14:45:21";NULL
"FP-01-CH1-COT-T315-A107";"PM1.COT.T(CACO3)/(FMT)/AGT/GM";"2023-10-26 14:45:21";NULL
