id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
EMO003495;FP-01-SP3-WRS-T028-P042;10011114;"MOTOR AC;90KW;167A;4P;380V;B";Installed;SP3.C29/P76/M;1801;https://www.safesave.info/MIC.php?id=Fajar-MotorList1801;2023-10-21 12:19:21
EMO003124;FP-01-SP3-RJS-T092-P094;;"AC MOTOR;380V,50Hz,75kW,4P,250M,B35";Installed;SP3.P71A/M;1802;https://www.safesave.info/MIC.php?id=Fajar-MotorList1802;2023-10-21 12:19:22
EMO000226;FP-01-SP3-RJS-T092-P093;10011099;"AC MOTOR;380V,50Hz,75kW,4P,280S,B35";Installed;SP3.P71/M;1803;https://www.safesave.info/MIC.php?id=Fajar-MotorList1803;2023-10-21 12:19:23
EMO000426;FP-01-SP3-RJS-T092-P092;10010668;"AC MOTOR;380V,50Hz,75kW,4P,250M,B3";Installed;SP3.P.70/M;1804;https://www.safesave.info/MIC.php?id=Fajar-MotorList1804;2023-10-21 12:19:24
EMO000922;FP-01-SP3-RJS-T029-P043;10011059;"AC MOTOR;380V,50HZ,37KW,4P,70.9A,B";Installed;SP3.C30/P43/M;1805;https://www.safesave.info/MIC.php?id=Fajar-MotorList1805;2023-10-21 12:19:25
EMO000908;FP-01-SP3-RJS-T019-P033;;"AC MOTOR;380V,50Hz,5.5kW,4P,132S,B3";Installed;SP3.C20/P41/M;1806;https://www.safesave.info/MIC.php?id=Fajar-MotorList1806;2023-10-21 12:19:26
EMO000907;FP-01-SP3-RJS-T019-A015;;"MOTOR AC;22KW;45,9A;6P;380V;B";Installed;SP3.C20/AGT20/M;1807;https://www.safesave.info/MIC.php?id=Fajar-MotorList1807;2023-10-21 12:19:27
EMO000906;FP-01-SP3-RJS-T018-P032;;"AC MOTOR;380V,50Hz,75kW,4P,250M,B3";Installed;SP3.C19/P77/M;1808;https://www.safesave.info/MIC.php?id=Fajar-MotorList1808;2023-10-21 12:19:28
EMO000905;FP-01-SP3-RJS-T018-P031;10010918;"AC MOTOR;380V,50Hz,11kW,4P,160M,B3";Installed;SP3.C19/P45/M;1809;https://www.safesave.info/MIC.php?id=Fajar-MotorList1809;2023-10-21 12:19:29
EMO000903;FP-01-SP3-RJS-T017-P029;;"AC MOTOR;380V,50Hz,37kW,4P,200M,B3";Installed;SP3.C18/P78/M;1810;https://www.safesave.info/MIC.php?id=Fajar-MotorList1810;2023-10-21 12:19:30
EMO000024;FP-01-SP3-RJS-RU02;;"MOTOR;37KW";Installed;SP3.RJ03A/M;1811;https://www.safesave.info/MIC.php?id=Fajar-MotorList1811;2023-10-21 12:19:31
EMO002712;FP-01-SP3-RJS-RU01;10010619;"MOTOR;AC,55KW,108A,4P";Installed;SP3.RJ06/GB/M;1812;https://www.safesave.info/MIC.php?id=Fajar-MotorList1812;2023-10-21 12:19:32
EMO002799;FP-01-SP3-OCC-TH08-P077;;"AC MOTOR;380V,50Hz,75kW,4P,280S,B35";Installed;SP3.P042/M;1813;https://www.safesave.info/MIC.php?id=Fajar-MotorList1813;2023-10-21 12:19:33
EMO000998;FP-01-SP3-OCC-TH08;;"MOTOR AC;1,5KW;3,75A;4P;380V;";Installed;SP3.RJ04/GB1/M;1814;https://www.safesave.info/MIC.php?id=Fajar-MotorList1814;2023-10-21 12:19:34
EMO000999;FP-01-SP3-OCC-TH08;;"MOTOR AC;1,5KW;3,75A;4P;380V;";Installed;SP3.RJ04/GB2/M;1815;https://www.safesave.info/MIC.php?id=Fajar-MotorList1815;2023-10-21 12:19:35
EMO000620;FP-01-SP3-OCC-TH07;10010987;"MOTOR AC;15KW;30,5A;4P;380V;B";Installed;SP3.RJ03/GB/M;1816;https://www.safesave.info/MIC.php?id=Fajar-MotorList1816;2023-10-21 12:19:36
EMO000995;FP-01-SP3-OCC-TH05;;"MOTOR AC;11KW;21,5A;4P;380V;B";Installed;SP3.SP.26/GB1/M;1817;https://www.safesave.info/MIC.php?id=Fajar-MotorList1817;2023-10-21 12:19:37
EMO000061;FP-01-SP3-OCC-TH04;10010918;"AC MOTOR;380V,50Hz,11kW,4P,160M,B3";Installed;SP3.SP.25/GB1/M;1818;https://www.safesave.info/MIC.php?id=Fajar-MotorList1818;2023-10-21 12:19:38
EMO000992;FP-01-SP3-OCC-TH03;;"MOTOR AC;20HP;29A;4P;380V;B";Installed;SP3.SP.32/GB1/M;1819;https://www.safesave.info/MIC.php?id=Fajar-MotorList1819;2023-10-21 12:19:39
EMO000993;FP-01-SP3-OCC-TH03;;"MOTOR AC;0,37KW;1,2A;4P;380V;";Installed;SP3.SP.32/GB2/M;1820;https://www.safesave.info/MIC.php?id=Fajar-MotorList1820;2023-10-21 12:19:40
EMO000991;FP-01-SP3-OCC-TH02;;MOTOR;Installed;SP3.SP.31A/GB2/M;1821;https://www.safesave.info/MIC.php?id=Fajar-MotorList1821;2023-10-21 12:19:41
EMO003928;FP-01-SP3-OCC-TH02;10027266;"AC MOTOR;380V,50Hz,37kW,4P,225S,B3";Installed;SP3.SP.31A/GB1/M;1822;https://www.safesave.info/MIC.php?id=Fajar-MotorList1822;2023-10-21 12:19:42
EMO003472;FP-01-SP3-OCC-TH02;;ELECTRIC MOTOR(VACUUM PUMP THK );Installed;SP3.SP31B/M;1823;https://www.safesave.info/MIC.php?id=Fajar-MotorList1823;2023-10-21 12:19:43
EMO003473;FP-01-SP3-OCC-TH02;;ELECTRIC MOTOR( DROPLEG PUMP THK );Installed;SP3.SP31C;1824;https://www.safesave.info/MIC.php?id=Fajar-MotorList1824;2023-10-21 12:19:44
EMO003835;FP-01-SP3-OCC-TH01;10011100;"AC MOTOR;380V,50Hz,15kW,4P,160L,B5";Installed;SP3.SP.31/GB1/M;1825;https://www.safesave.info/MIC.php?id=Fajar-MotorList1825;2023-10-21 12:19:45
EMO000953;FP-01-SP3-OCC-T044-P067;;"MOTOR AC;45KW;93A;4P;380V;B";Installed;SP3.SP.31C/M;1826;https://www.safesave.info/MIC.php?id=Fajar-MotorList1826;2023-10-21 12:19:46
EMO000952;FP-01-SP3-OCC-T043-VP10;;MOTOR;Installed;SP3-SP-31B/M;1827;https://www.safesave.info/MIC.php?id=Fajar-MotorList1827;2023-10-21 12:19:47
EMO001641;FP-01-SP3-OCC-T032-P051;;"AC MOTOR;380V,50Hz,37kW,4P,225S,B3";Installed;SP3-RJ05-C/M;1828;https://www.safesave.info/MIC.php?id=Fajar-MotorList1828;2023-10-21 12:19:48
EMO000929;FP-01-SP3-OCC-T032-P050;10010538;"AC MOTOR;380V,50HZ,110KW,2P,B";Installed;SP3.C33/P56/M;1829;https://www.safesave.info/MIC.php?id=Fajar-MotorList1829;2023-10-21 12:19:49
EMO005229;FP-01-SP3-OCC-T032-P049;10010538;"AC MOTOR;380V,50HZ,110KW,2P,280M,B3";Installed;SP3.C33/P86/M;1830;https://www.safesave.info/MIC.php?id=Fajar-MotorList1830;2023-10-21 12:19:50
EMO000901;FP-01-SP3-OCC-T016-P027;;"AC MOTOR;380V,50Hz,11kW,6P,160L,B3";Installed;SP3.C16/P24/M;1831;https://www.safesave.info/MIC.php?id=Fajar-MotorList1831;2023-10-21 12:19:51
EMO000900;FP-01-SP3-OCC-T016-A014;;"MOTOR AC;55KW;108A;6P;380V;B";Installed;SP3.C16/AGT16/M;1832;https://www.safesave.info/MIC.php?id=Fajar-MotorList1832;2023-10-21 12:19:52
EMO000899;FP-01-SP3-OCC-T015-P026;10020901;"AC MOTOR;380V,50Hz,45kW,4P,225M,B3";Installed;SP3.C15/P22/M;1833;https://www.safesave.info/MIC.php?id=Fajar-MotorList1833;2023-10-21 12:19:53
EMO000898;FP-01-SP3-OCC-T015-A013;;"MOTOR AC;55KW;108A;6P;380V;B";Installed;SP3.C15/AGT15/M;1834;https://www.safesave.info/MIC.php?id=Fajar-MotorList1834;2023-10-21 12:19:54
EMO000897;FP-01-SP3-OCC-T014-P025;;"AC MOTOR;380V,50Hz,30kW,6P,200L,B3";Installed;SP3.C14/P23/M;1835;https://www.safesave.info/MIC.php?id=Fajar-MotorList1835;2023-10-21 12:19:55
EMO000127;FP-01-SP3-OCC-T014-A012;;"AC MOTOR;380V,50Hz,55kW,6P,280S,B35";Available;SP3.C14/AGT14/M;1836;https://www.safesave.info/MIC.php?id=Fajar-MotorList1836;2023-10-21 12:19:56
EMO000893;FP-01-SP3-OCC-T012-P022;10020901;"AC MOTOR;380V,50Hz,45kW,4P,225M,B3";Installed;SP3.C12/P50/M;1837;https://www.safesave.info/MIC.php?id=Fajar-MotorList1837;2023-10-21 12:19:57
EMO000892;FP-01-SP3-OCC-T012-P021;;"AC MOTOR;380V,50Hz,90kW,4P,280M,B3";Installed;SP3.C12/P49A/M;1838;https://www.safesave.info/MIC.php?id=Fajar-MotorList1838;2023-10-21 12:19:58
EMO000891;FP-01-SP3-OCC-T012-P020;;"AC MOTOR;3000V,50Hz,351kW,4P,355AB,B3";Installed;SP3.C12/P49/M;1839;https://www.safesave.info/MIC.php?id=Fajar-MotorList1839;2023-10-21 12:19:59
EMO000093;FP-01-SP3-OCC-T011-P019;;"AC MOTOR;380V,50Hz,18.5kW,4P,180M,B3";Installed;SP3.C11/P21/M;1840;https://www.safesave.info/MIC.php?id=Fajar-MotorList1840;2023-10-21 12:20:00
