id;tag_name;created_at
FP-01-SP3-WRS-T028-P042;SP3.C29/P76/M;2023-10-21 12:19:21
FP-01-SP3-RJS-T092-P094;SP3.P71A/M;2023-10-21 12:19:22
FP-01-SP3-RJS-T092-P093;SP3.P71/M;2023-10-21 12:19:23
FP-01-SP3-RJS-T092-P092;SP3.P.70/M;2023-10-21 12:19:24
FP-01-SP3-RJS-T029-P043;SP3.C30/P43/M;2023-10-21 12:19:25
FP-01-SP3-RJS-T019-P033;SP3.C20/P41/M;2023-10-21 12:19:26
FP-01-SP3-RJS-T019-A015;SP3.C20/AGT20/M;2023-10-21 12:19:27
FP-01-SP3-RJS-T018-P032;SP3.C19/P77/M;2023-10-21 12:19:28
FP-01-SP3-RJS-T018-P031;SP3.C19/P45/M;2023-10-21 12:19:29
FP-01-SP3-RJS-T017-P029;SP3.C18/P78/M;2023-10-21 12:19:30
FP-01-SP3-RJS-RU02;SP3.RJ03A/M;2023-10-21 12:19:31
FP-01-SP3-RJS-RU01;SP3.RJ06/GB/M;2023-10-21 12:19:32
FP-01-SP3-OCC-TH08-P077;SP3.P042/M;2023-10-21 12:19:33
FP-01-SP3-OCC-TH08;SP3.RJ04/GB1/M;2023-10-21 12:19:34
FP-01-SP3-OCC-TH08;SP3.RJ04/GB2/M;2023-10-21 12:19:35
FP-01-SP3-OCC-TH07;SP3.RJ03/GB/M;2023-10-21 12:19:36
FP-01-SP3-OCC-TH05;SP3.SP.26/GB1/M;2023-10-21 12:19:37
FP-01-SP3-OCC-TH04;SP3.SP.25/GB1/M;2023-10-21 12:19:38
FP-01-SP3-OCC-TH03;SP3.SP.32/GB1/M;2023-10-21 12:19:39
FP-01-SP3-OCC-TH03;SP3.SP.32/GB2/M;2023-10-21 12:19:40
FP-01-SP3-OCC-TH02;SP3.SP.31A/GB2/M;2023-10-21 12:19:41
FP-01-SP3-OCC-TH02;SP3.SP.31A/GB1/M;2023-10-21 12:19:42
FP-01-SP3-OCC-TH02;SP3.SP31B/M;2023-10-21 12:19:43
FP-01-SP3-OCC-TH02;SP3.SP31C;2023-10-21 12:19:44
FP-01-SP3-OCC-TH01;SP3.SP.31/GB1/M;2023-10-21 12:19:45
FP-01-SP3-OCC-T044-P067;SP3.SP.31C/M;2023-10-21 12:19:46
FP-01-SP3-OCC-T043-VP10;SP3-SP-31B/M;2023-10-21 12:19:47
FP-01-SP3-OCC-T032-P051;SP3-RJ05-C/M;2023-10-21 12:19:48
FP-01-SP3-OCC-T032-P050;SP3.C33/P56/M;2023-10-21 12:19:49
FP-01-SP3-OCC-T032-P049;SP3.C33/P86/M;2023-10-21 12:19:50
FP-01-SP3-OCC-T016-P027;SP3.C16/P24/M;2023-10-21 12:19:51
FP-01-SP3-OCC-T016-A014;SP3.C16/AGT16/M;2023-10-21 12:19:52
FP-01-SP3-OCC-T015-P026;SP3.C15/P22/M;2023-10-21 12:19:53
FP-01-SP3-OCC-T015-A013;SP3.C15/AGT15/M;2023-10-21 12:19:54
FP-01-SP3-OCC-T014-P025;SP3.C14/P23/M;2023-10-21 12:19:55
FP-01-SP3-OCC-T014-A012;SP3.C14/AGT14/M;2023-10-21 12:19:56
FP-01-SP3-OCC-T012-P022;SP3.C12/P50/M;2023-10-21 12:19:57
FP-01-SP3-OCC-T012-P021;SP3.C12/P49A/M;2023-10-21 12:19:58
FP-01-SP3-OCC-T012-P020;SP3.C12/P49/M;2023-10-21 12:19:59
FP-01-SP3-OCC-T011-P019;SP3.C11/P21/M;2023-10-21 12:20:00
FP-01-SP3-OCC-T010-P018;SP3.C10/P20/M;2023-10-21 12:20:01
FP-01-SP3-OCC-T010-A010;SP3.C10/AGT10/M;2023-10-21 12:20:02
FP-01-SP3-OCC-T009-P017;SP3.C9/P19/M;2023-10-21 12:20:03
FP-01-SP3-OCC-T008-P016;SP3.C8/P18/M;2023-10-21 12:20:04
FP-01-SP3-OCC-T008-P015;SP3.C8/P17/M;2023-10-21 12:20:05
FP-01-SP3-OCC-T008-P013;SP3.C8/P15/M;2023-10-21 12:20:06
FP-01-SP3-OCC-T007-P012;SP3.C7/P12/M;2023-10-21 12:20:07
FP-01-SP3-OCC-T007-A009;SP3.C7/AGT7/M;2023-10-21 12:20:08
FP-01-SP3-OCC-T006-P011;SP3.C6/P48/M;2023-10-21 12:20:09
FP-01-SP3-OCC-T006-A008;SP3.C6/AGT6/M;2023-10-21 12:20:10
FP-01-SP3-OCC-T005-P010;SP3.C5/P10/M;2023-10-21 12:20:11
FP-01-SP3-OCC-T005-A007;SP3.C5/AGT5/M;2023-10-21 12:20:12
FP-01-SP3-OCC-T004-P009;SP3.P-09/M;2023-10-21 12:20:13
FP-01-SP3-OCC-T004-P008;SP3.C4/P13/M;2023-10-21 12:20:14
FP-01-SP3-OCC-T004-A006;SP3.C4/AGT4B/M;2023-10-21 12:20:15
FP-01-SP3-OCC-T004-A005;SP3.C4/AGT4A/M;2023-10-21 12:20:16
FP-01-SP3-OCC-T003-P007;SP3.P-14/M;2023-10-21 12:20:17
FP-01-SP3-OCC-T003-A004;SP3.C3/AGT3B/M;2023-10-21 12:20:18
FP-01-SP3-OCC-T003-A003;SP3.C3/AGT3A/M;2023-10-21 12:20:19
FP-01-SP3-OCC-T002-P006;SP3.C2/P8/M;2023-10-21 12:20:20
FP-01-SP3-OCC-T002-A002;SP3.OCC.M;2023-10-21 12:20:21
