id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
EMO004433;FP-01-CH8-ALM-A850;;NORD,SK132SH-4,5.5KW,9.3A,4P,380V;Installed;CH8.ALM/CH8AS04;3501;https://www.safesave.info/MIC.php?id=Fajar-MotorList3501;2023-10-21 12:19:21
EMO004434;FP-01-CH8-ALM-A860;;NORD,SK132SH-4,5.5KW,9.3A,4P,380V;Installed;CH8.ALM.CH8AS05/M;3502;https://www.safesave.info/MIC.php?id=Fajar-MotorList3502;2023-10-21 12:19:21
EMO004307;FP-01-CH8-ALM-P850;;SIEMENS,100L1MV1,3KW,5.9A,4P,380V;Installed;CH8.ALM.CH8PC04/M;3503;https://www.safesave.info/MIC.php?id=Fajar-MotorList3503;2023-10-21 12:19:21
EMO004308;FP-01-CH8-ALM-P851;;SIEMENS,100L1MV1,3KW,5.9A,4P,380V;Installed;CH8.ALM.CH8PC05/M;3504;https://www.safesave.info/MIC.php?id=Fajar-MotorList3504;2023-10-21 12:19:21
EMO004309;FP-01-CH8-ALM-P860;;NORD,SK80LH4,0.75KW,1.79A,4P,380V;Installed;CH8.ALM.CH8PV06/M;3505;https://www.safesave.info/MIC.php?id=Fajar-MotorList3505;2023-10-21 12:19:21
EMO004310;FP-01-CH8-ALM-P861;;NORD,SK80LH4,0.75KW,1.79A,4P,380V;Installed;CH8.ALM.CH8PV07/M;3506;https://www.safesave.info/MIC.php?id=Fajar-MotorList3506;2023-10-21 12:19:21
EMO004435;FP-01-CH8-CAT-A870;;NORD,SK132MH4,7.5KW,13.1A,4P,380V;Installed;CH8.CAT/CH8MAM02;3507;https://www.safesave.info/MIC.php?id=Fajar-MotorList3507;2023-10-21 12:19:21
EMO004436;FP-01-CH8-CAT-A880;;NORD,SK132SH-4,5.5KW,9.3A,4P,380V;Installed;CH8.CAT.CH8MAS06/M;3508;https://www.safesave.info/MIC.php?id=Fajar-MotorList3508;2023-10-21 12:19:21
EMO004437;FP-01-CH8-CAT-A885;;NORD,SK132SH-4,5.5KW,9.3A,4P,380V;Installed;CH8.CAT.CH8AS07/M;3509;https://www.safesave.info/MIC.php?id=Fajar-MotorList3509;2023-10-21 12:19:21
EMO004311;FP-01-CH8-CAT-P870;;SIEMENS,132SIM5,5.5KW,9.9A,2P;Installed;CH8.CAT.CH8PC06/M;3510;https://www.safesave.info/MIC.php?id=Fajar-MotorList3510;2023-10-21 12:19:21
EMO004312;FP-01-CH8-CAT-P880;;NORD,SK112M4,4KW,8.29A,4P,380V;Installed;CH8.CAT.CH8PV08/M;3511;https://www.safesave.info/MIC.php?id=Fajar-MotorList3511;2023-10-21 12:19:21
EMO004313;FP-01-CH8-CAT-P881;;NORD,SK112M4,4KW,8.29A,4P,380V;Installed;CH8.CAT.CH8PV09/M;3512;https://www.safesave.info/MIC.php?id=Fajar-MotorList3512;2023-10-21 12:19:21
EMO004314;FP-01-CH8-CAT-P885;;SIEMENS,132MIB5,7.5KW,14.7A,4P,380V;Installed;CH8.CAT.CH8PV10/M;3513;https://www.safesave.info/MIC.php?id=Fajar-MotorList3513;2023-10-21 12:19:21
EMO004315;FP-01-CH8-CAT-P886;;SIEMENS,132MIB5,7.5KW,14.7A,4P,380V;Installed;CH8.CAT.CH8PV11/M;3514;https://www.safesave.info/MIC.php?id=Fajar-MotorList3514;2023-10-21 12:19:21
EMO004326;FP-01-CH8-CHA-HST1;;HITACHI,2.4KW,6.0A,2P (HOIST UNTUK UP/DOWN);Installed;CH8.STA/CH8PL01;3515;https://www.safesave.info/MIC.php?id=Fajar-MotorList3515;2023-10-21 12:19:21
