emo_detail;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
EMO004433;NORD;36513791;SK;5.5;kW;380;11.2;50;4P;1460;;;132S;;3;0.84;87.7;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004434;NORD;36513791;SK;5.5;kW;380;11.2;50;4P;1460;;;132S;;3;0.84;87.7;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004307;Siemens;1819574001-002;IMV1;3;kW;400;5.9;50;4P;1460;6206;6206;100L;;3;0.83;87.7;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004308;Siemens;1819574001-001;IMV1;3;kW;400;5.9;50;4P;1415;6206;6206;100L;;3;0.83;87.7;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004309;NORD;33510090;SK;0.75;kW;380;1.79;50;4P;1415;6204;6204;80L;;3;0.75;81.6;55;Class F;S1;Start;Not Available;;;;-;-;-;;Internal;Vertical
EMO004310;NORD;33510090;SK;0.75;kW;380;1.79;50;4P;1460;;;80L;;3;0.75;81.6;55;Class F;S1;Start;Not Available;;;;-;-;-;;Internal;Vertical
EMO004435;NORD;36813791;SK;7.5;kW;380;15.7;50;4P;1460;;;132M;;3;0.81;88.7;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004436;NORD;36513791;SK;5.5;kW;380;11.2;50;4P;1460;;;132S;;3;0.84;87.7;54;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004437;NORD;36513791;SK;5.5;kW;380;11.2;50;2P;2950;;;132S;;3;0.84;87.7;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004311;Siemens;1819574002-001;IMB5;5.5;kW;400;9.9;50;4P;1440;;;132S;;3;0.9;;55;Class F;;Delta;Not Available;;;;140;200;132;;Internal;Horizontal
EMO004312;NORD;36010087;SK;4;kW;380;8.29;50;4P;1440;6306;6306;112M;;3;0.83;86.6;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004313;NORD;36010087;SK;4;kW;380;8.29;50;4P;1465;6306;6306;112M;;3;0.83;86.6;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
EMO004314;Siemens;181568000T-002;IMB5;7.5;kW;400;14.7;50;4P;1465;6208;6208;132M;;3;0.83;88.7;55;Class F;S1;Delta;Not Available;;;;-;-;-;;Internal;Vertical
