id;material_number;equipment_description;status;sort_field;unique_id;qr_code_link
EMO003495;10011114;"MOTOR AC;90KW;167A;4P;380V;B";Installed;SP3.C29/P76/M;1801;https://www.safesave.info/MIC.php?id=Fajar-MotorList1801
EMO003124;;"AC MOTOR;380V,50Hz,75kW,4P,250M,B35";Installed;SP3.P71A/M;1802;https://www.safesave.info/MIC.php?id=Fajar-MotorList1802
EMO000226;10011099;"AC MOTOR;380V,50Hz,75kW,4P,280S,B35";Installed;SP3.P71/M;1803;https://www.safesave.info/MIC.php?id=Fajar-MotorList1803
EMO000426;10010668;"AC MOTOR;380V,50Hz,75kW,4P,250M,B3";Installed;SP3.P.70/M;1804;https://www.safesave.info/MIC.php?id=Fajar-MotorList1804
EMO000922;10011059;"AC MOTOR;380V,50HZ,37KW,4P,70.9A,B";Installed;SP3.C30/P43/M;1805;https://www.safesave.info/MIC.php?id=Fajar-MotorList1805
EMO000908;;"AC MOTOR;380V,50Hz,5.5kW,4P,132S,B3";Installed;SP3.C20/P41/M;1806;https://www.safesave.info/MIC.php?id=Fajar-MotorList1806
EMO000907;;"MOTOR AC;22KW;45,9A;6P;380V;B";Installed;SP3.C20/AGT20/M;1807;https://www.safesave.info/MIC.php?id=Fajar-MotorList1807
EMO000906;;"AC MOTOR;380V,50Hz,75kW,4P,250M,B3";Installed;SP3.C19/P77/M;1808;https://www.safesave.info/MIC.php?id=Fajar-MotorList1808
EMO000905;10010918;"AC MOTOR;380V,50Hz,11kW,4P,160M,B3";Installed;SP3.C19/P45/M;1809;https://www.safesave.info/MIC.php?id=Fajar-MotorList1809
EMO000903;;"AC MOTOR;380V,50Hz,37kW,4P,200M,B3";Installed;SP3.C18/P78/M;1810;https://www.safesave.info/MIC.php?id=Fajar-MotorList1810
EMO000024;;"MOTOR;37KW";Installed;SP3.RJ03A/M;1811;https://www.safesave.info/MIC.php?id=Fajar-MotorList1811
EMO002712;10010619;"MOTOR;AC,55KW,108A,4P";Installed;SP3.RJ06/GB/M;1812;https://www.safesave.info/MIC.php?id=Fajar-MotorList1812
EMO002799;;"AC MOTOR;380V,50Hz,75kW,4P,280S,B35";Installed;SP3.P042/M;1813;https://www.safesave.info/MIC.php?id=Fajar-MotorList1813
EMO000998;;"MOTOR AC;1,5KW;3,75A;4P;380V;";Installed;SP3.RJ04/GB1/M;1814;https://www.safesave.info/MIC.php?id=Fajar-MotorList1814
