emo;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
EMO003495;HUADA;;Y2;90;kW;380;167;50;4;1481;6317;6317;280 M;;3;;;55;F;S1;Delta;Available;;;;;;280;;;Horizontal
EMO003124;ABB;648472813;M2BA;75;kW;380;139;50;4;1475;;;250 M;;3;;;55;F;S1;Delta;Available;;;;;;250;;;Horizontal
EMO000226;TECO;3333499;AEEB;75;kW;380;140;50;4;1481;6316;6316;280 S;75;3;;;55;F;S1;Delta;Available;;;;;;280;;;Horizontal
EMO000426;TECO;P9543291;AEEBPA040100YW05T;75;kW;380;140;50;4;1475;NU216;6213;250 M;;3;;;55;F;S1;Delta;Available;;;;;;250;;;Horizontal
EMO000922;TECO;H7104507018;AEEB;37;kW;380;28.5;50;4;1470;6313;6213;225 S;;3;;;55;F;S1;Delta;Available;;;;;;225;;;Horizontal
EMO000908;TECO;;QU;5.5;kW;380;11.6;50;4;1430;;;132S;;3;0.84;;55;F;;Start;Not Available;;;;;;;;Internal;Horizontal
EMO000907;TECO;11611015;AEEB;22;kW;380;45.9;50;6;975;6312;6212;200 L;;3;;;54;F;S1;Delta;Available;;;;;;200;;;Horizontal
EMO000906;ABB;3284806;M2BA;75;kW;380;139;50;4;1475;6315;6315;250 S;65;3;0.88;;55;F;S1;Delta;Available;;;;;;250;;;Horizontal
EMO000905;ABB;C58957122;M2BA;11;kW;380;22;50;4;1448;6209;6209;160 M;;3;0.85;;55;F;S1;Delta;Not Available;;;;;;160;;;Horizontal
EMO000903;ABB;;M2BA;37;kW;380;71;50;4;1430;6312;6312;200M;;3;0.85;;55;F;;;Not Available;;;;;;200;;Internal;Horizontal
EMO000024;TOSHIBA;;;37;kW;380;71;50;4;1455;;;200 L;;3;;;55;F;S1;Delta;Not Available;;;;;;200;;;Horizontal
EMO002712;ABB;;M2BA;55;kW;380;103;50;4;1475;6315;6315;250 S;;3;0.86;;55;F;S1;Delta;Not Available;;;;;;250;;;Horizontal
EMO002799;ABB;3409739;M2BA;75;kW;380;140;50;4;1481;6316;6316;280S;75;3;0.82;;55;F;;Delta;Available;;;;;;280;;Internal;Vertical
EMO000998;SEW;B296690;KA86;1.5;kW;380;3.75;50;4;1410;;;90L;;3;;;;;S1;Delta;Not Available;;;;;;90;;Internal;Vertical
EMO000999;SEW;500978925;KA86;1.5;kW;380;3.75;50;4;1410;;;90L;;3;;;;;S1;Delta;Not Available;;;;;;90;;Internal;Vertical
EMO000620;ABB;GS6050414-D01;QU;15;kW;380;30.5;50;4;1475;;;160 L;;3;0.86;;55;F;S1;Delta;Not Available;;;;;;160;;;Horizontal
EMO000995;TECO;P9508122;AEEB;11;kW;380;21.5;50;4;1455;;;160M;;3;;;55;F;;Delta;Not Available;;;;;;160;;Internal;Horizontal
EMO000061;ABB;;MBT;11;kW;380;23;50;4;1455;;;132S;;3;;;55;F;;Delta;Not Available;;;;;;132;;Internal;Horizontal
EMO000992;TECO;P9545981;AEEB;20;HP;380;29;50;4;1450;6309;6307;160L;;3;;;55;F;;Delta;Not Available;;;;;;160;;Internal;Horizontal
EMO000993;Tunglee;;;0.37;kW;380;1.2;50;4;1380;;;;;3;;;55;F;;;Not Available;;;;;;;;Internal;Vertical
EMO000991;TECO;1250360015;A0V;0.37;kW;380;1.3;50;4;1390;6202;6202;71;;3;;;54;E;S1;Start;Not Available;;;;;;71;;;Vertical
EMO003928;ABB;76322971002;M3BP;37;kW;380;72;50;4;1475;6313;6313;225S;;3;0.84;;55;F;;Delta;Available;;;;;;225;;Internal;Horizontal
EMO003472;TECO;AC56066-2;AEEBKB;110;kW;380;205;50;4;1480;6316;6318;280mb;;3;;;55;F;;DELTA;Available;;;;;;;;internal;horizontal
EMO003473;Tunglee;18m17102-10;;0.4;kW;380;1.15;50;4;1493;;;;;3;;;;;;start;;;;;;;;;Internal;Horizontal
EMO003835;TECO;1KH4H287;AEVBAC;15;kW;380;30.7;50;4;1455;6309;6307;160L;;3;;;54;F;S1;Delta;Available;;;;;;160;;Internal;Vertical
EMO000953;TECO;7061713002;AEEB;45;kW;380;93;50;4;1465;6313;6213;225 M;;3;;;55;F;S1;Delta;Available;;;;;;225;;;Horizontal
EMO000952;TECO;AC56066-2;AEEB;110;kW;380;205;50;4;1480;6318;6316;280 M;;3;;;55;F;S1;Delta;Available;;;;;;280;;;Horizontal
EMO001641;TECO;;AEEB;37;kW;380;68.5;50;4;1480;6313;6212;225 S;;3;;;55;F;S1;Delta;Available;;;;;;225;;;Horizontal
EMO000929;TECO;MN50093-1;AEEB;150;HP;380;202;50;2;2955;6314;6314;280 M;;3;;;55;F;S1;Delta;Available;;;;;;280;;;Horizontal
EMO005229;TECO;;AEEB;150;HP;380;202;50;2;2955;6314;6314;280 M;;3;;;55;F;S1;Delta;Available;;;;;;280;;;Horizontal
EMO000901;ABB;8956771D02;M2BA;11;kW;380;24;50;6;965;6209;6209;160 L;;3;0.79;;55;F;S1;Delta;Not Available;;;;;;160;;;Horizontal
EMO000900;TECO;C56102-6;AEEB;55;kW;380;108;50;6;970;NU318;6316;280 S;;3;;;55;F;S1;Delta;Available;;;;;;280;;;Horizontal
EMO000899;ABB;32908763262WM;M2BA;45;kW;380;86;50;4;1477;6313;6313;225 S;60;3;0.85;;55;F;S1;Delta;Available;;;;;;225;;;Horizontal
EMO000898;TECO;C56102-5;AEEB;55;kW;380;108;50;6;970;NU318;6316;280 S;;3;;;55;F;S1;Delta;Available;;;;;;280;;;Horizontal
EMO000897;TECO;75B232007;AEEB;30;kW;380;57;50;4;1460;6312;6212;200L;;3;;;55;F;S1;Delta;Available;;;;;;200;;Internal;Horizontal
EMO000127;TECO;;AEEB;55;kW;380;108;50;6;970;NU318;6316;280S;;3;;;55;F;S1;Delta;Available;;;;;;280;;Internal;Horizontal
EMO000893;ABB;3290877-3262;M2BA;45;kW;380;86;50;4;1477;6313;6313;225S;60;3;0.85;;55;F;S1;Delta;Available;;;;286/311;356;225;;Internal;Horizontal
EMO000892;ABB;3328062;M2BA;90;kW;380;165;50;4;1481;6316;6316;280S;75;3;0.88;;55;F;S1;Delta;Available;;;;;;280;;Internal;Horizontal
EMO000891;TECO;D59337-1;AEJE;335;kW;3000;56.6;50;4;1481;NU220;6318;355AB;;3;;;55;F;S1;;Available;;;;;;355;;Internal;Horizontal
EMO000093;ASEAN;7557281;MBT;18.5;kW;380;38;50;4;1470;;;180 M;;3;;;55;F;S1;Delta;Not Available;;;;;;180;;;Horizontal
EMO000888;ABB;3290875;M2BA;45;kW;380;86;50;4;1477;6313;6313;225S;60;3;0.85;;55;F;S1;Delta;Available;;;;286/311;356;225;;Internal;Horizontal
EMO003668;TECO;P95221702;AEEB;22;kW;380;46.4;50;6;970;6312;6212;200 L;;3;;;55;F;S1;Delta;Available;;;;;;200;;;Horizontal
EMO002007;ABB;3292600;M2BA;45;kW;380;86;50;4;1477;6313;6313;225S;60;3;0.85;;55;F;S1;Delta;Available;;;;286/311;356;225;;Internal;Horizontal
EMO000457;ABB;MK71008-AD;MBT;30;kW;380;61;50;4;1475;6213;6211;200L;;3;;;55;F;S1;Delta;Available;;;;305;318;200;;Internal;Horizontal
EMO000884;ABB;31711966-2272;HXR;75;kW;380;144;50;4;1476;6316;6315;280S;75;3;0.85;;55;F;S1;Delta;Not Available;;;;;;280;;Internal;Horizontal
EMO000882;TECO;D57344-1;AEEB;500;HP;3000;89.3;50;6;987;NU224;6322;450A;;3;;;55;F;;;Available;;;;;;450;;Internal;Horizontal
EMO000880;ABB;3290619;M2BA;30;kW;380;59;50;4;1468;;;200M;55;3;0.85;;55;F;S1;Delta;Available;;;;305;318;200;;Internal;Horizontal
EMO000881;TECO;16617;AEEB;7.5;kW;380;17;50;6;965;6309;6307;160M;42;3;;;55;F;;Delta;Available;;;;210;254;160;;Internal;Horizontal
EMO003404;ABB;GS6062425D05;M2BA;30;kW;380;59;50;6;985;6313;6313;225 S;;3;0.83;;55;F;S1;Delta;Available;;;;;;225;;;Horizontal
EMO000878;TECO;C56102-4;AEEB;55;kW;380;108;50;6;970;NU318;6316;280 S;;3;;;55;F;S1;Delta;Available;;;;;;280;;;Horizontal
EMO000877;ABB;32324111743;M2BA;90;kW;380;165;50;4;1485;6316;6316;280 S;75;3;0.88;;55;F;S1;Delta;Available;;;;;;280;;;Horizontal
EMO000865;TECO;P9508184;AEEB;37;kW;380;74;50;6;965;NU216;6213;280 S;;3;;;55;F;S1;Delta;Available;;;;;;280;;;Horizontal
EMO000875;HUADA;59251001J;Y2;132;kW;380;241;50;4;1485;;;315 M;;3;0.88;0.94;55;F;S1;Delta;Available;;;;;;315;;;Horizontal
EMO002906;TECO;MN60033-9;AEEB;75;kW;380;129;50;4;1475;6316;6213;250 M;;3;;;55;F;S1;Delta;Available;;;;;;250;;;Horizontal
EMO000873;TECO;C56103-8;AEEB;75;kW;380;143;50;6;975;NU318;6316;280 M;;3;;;55;F;S1;Delta;Available;;;;;;280;;;Horizontal
EMO000872;TECO;C56103-6;AEEB;75;kW;380;143;50;6;975;NU318;6316;280 M;;3;;;55;F;S1;Delta;Available;;;;;;280;;;Horizontal
EMO000874;ABB;3200622/7299VM;HXR;55;kW;380;107;50;4;1475;6313;6312;225 S;60;3;;;55;F;S1;Delta;Available;;;;;;225;;;Horizontal
EMO000870;TECO;P9524691;AEEB;55;kW;380;108;50;6;970;NU218;6214;280S;;3;;;55;F;S1;Delta;Available;;;;;;280;;Internal;Horizontal
EMO000869;TECO;P9524693;AEEB;55;kW;380;108;50;6;970;NU318;6316;280 S;;3;;;55;F;S1;Delta;Available;;;;;;280;;;Horizontal
EMO001941;TECO;MN60073;AEEB;110;kW;380;205;50;4;1460;6318;6316;280S;;3;;;55;F;S1;Delta;Available;;;;;;280M;;Internal;Horizontal
EMO003966;TECO;1551000856-3;AEEB;37;kW;380;74;50;6;965;NU316;6213;250S;;3;;;55;F;S1;Delta;Available;;;;;;250;;Internal;Horizontal
EMO001629;TECO;;AEEB;110;kW;380;205;50;4;1480;NU218;6214;280 M;;3;;;55;F;S1;Delta;Available;;;;;;280;;;Horizontal
EMO000204;CGE;;C250M6;37;kW;380;71;50;6;965;NU216;6213;250S;;3;;;55;F;S1;Delta;Available;;;;;;250;;Internal;Horizontal
EMO003132;TECO;P9524621;AEEB;5.5;kW;380;12.1;50;4;1450;6308;6306;132S;;3;;;55;F;S1;Delta;Not Available;;;;;;132;;Internal;Horizontal
EMO002923;TECO;P9508195;AEEB;55;kW;380;105;50;4;1470;NU216;6213;250 S;;3;;;55;F;S1;Delta;Available;;;;;;250;;;Horizontal
