id;emo;tag_name
FP-01-SP3-WRS-T028-P042;EMO003495;SP3.C29/P76/M
FP-01-SP3-RJS-T092-P094;EMO003124;SP3.P71A/M
FP-01-SP3-RJS-T092-P093;EMO000226;SP3.P71/M
FP-01-SP3-RJS-T092-P092;EMO000426;SP3.P.70/M
FP-01-SP3-RJS-T029-P043;EMO000922;SP3.C30/P43/M
FP-01-SP3-RJS-T019-P033;EMO000908;SP3.C20/P41/M
FP-01-SP3-RJS-T019-A015;EMO000907;SP3.C20/AGT20/M
FP-01-SP3-RJS-T018-P032;EMO000906;SP3.C19/P77/M
FP-01-SP3-RJS-T018-P031;EMO000905;SP3.C19/P45/M
FP-01-SP3-RJS-T017-P029;EMO000903;SP3.C18/P78/M
FP-01-SP3-RJS-RU02;EMO000024;SP3.RJ03A/M
FP-01-SP3-RJS-RU01;EMO002712;SP3.RJ06/GB/M
FP-01-SP3-OCC-TH08-P077;EMO002799;SP3.P042/M
FP-01-SP3-OCC-TH08;EMO000998;SP3.RJ04/GB1/M
FP-01-SP3-OCC-TH08;EMO000999;SP3.RJ04/GB2/M
FP-01-SP3-OCC-TH07;EMO000620;SP3.RJ03/GB/M
FP-01-SP3-OCC-TH05;EMO000995;SP3.SP.26/GB1/M
FP-01-SP3-OCC-TH04;EMO000061;SP3.SP.25/GB1/M
FP-01-SP3-OCC-TH03;EMO000992;SP3.SP.32/GB1/M
FP-01-SP3-OCC-TH03;EMO000993;SP3.SP.32/GB2/M
FP-01-SP3-OCC-TH02;EMO000991;SP3.SP.31A/GB2/M
FP-01-SP3-OCC-TH02;EMO003928;SP3.SP.31A/GB1/M
FP-01-SP3-OCC-TH02;EMO003472;SP3.SP31B/M
FP-01-SP3-OCC-TH02;EMO003473;SP3.SP31C
FP-01-SP3-OCC-TH01;EMO003835;SP3.SP.31/GB1/M
FP-01-SP3-OCC-T044-P067;EMO000953;SP3.SP.31C/M
FP-01-SP3-OCC-T043-VP10;EMO000952;SP3-SP-31B/M
FP-01-SP3-OCC-T032-P051;EMO001641;SP3-RJ05-C/M
FP-01-SP3-OCC-T032-P050;EMO000929;SP3.C33/P56/M
FP-01-SP3-OCC-T032-P049;EMO005229;SP3.C33/P86/M
FP-01-SP3-OCC-T016-P027;EMO000901;SP3.C16/P24/M
FP-01-SP3-OCC-T016-A014;EMO000900;SP3.C16/AGT16/M
FP-01-SP3-OCC-T015-P026;EMO000899;SP3.C15/P22/M
FP-01-SP3-OCC-T015-A013;EMO000898;SP3.C15/AGT15/M
FP-01-SP3-OCC-T014-P025;EMO000897;SP3.C14/P23/M
FP-01-SP3-OCC-T014-A012;EMO000127;SP3.C14/AGT14/M
FP-01-SP3-OCC-T012-P022;EMO000893;SP3.C12/P50/M
