id;status;funcloc;sort_field;material_number;equipment_description;unique_id;qr_code_link;created_at
EMO000576;Installed;FP-01-SP1-CPO-T002-P006;SP1.CP.C2/P1/M;10010924;"AC MOTOR;380V,50Hz,15kW,4P,160L,B3";20;https://www.safesave.info/MIC.php?id=Fajar-MotorList20;2023-11-21 08:29:01
EMO000349;Installed;FP-01-SP1-CPO-T007-P203;SP1.CP.C6/P3/M;;"AC MOTOR;380V,50Hz,45kW,4P,225M,B3";21;https://www.safesave.info/MIC.php?id=Fajar-MotorList21;2023-11-21 08:29:02
EMO000407;Installed;FP-01-SP1-CPO-T007-P013;SP1.CP.C6/P2/M;10010560;"AC MOTOR;380V,50Hz,30kW,4P,200M,B3";22;https://www.safesave.info/MIC.php?id=Fajar-MotorList22;2023-11-21 08:29:03
EMO000436;Installed;FP-01-SP1-CPO-DKC2;SP1.CP.DKC2/M;;"AC MOTOR;380V,50Hz,0.11kW,4P,V";23;https://www.safesave.info/MIC.php?id=Fajar-MotorList23;2023-11-21 08:29:04
EMO000435;Installed;FP-01-SP1-CPO-DKC2-P018;SP1.CP.DKC2/P1;10024161;"AC MOTOR;380V,50Hz,75kW,6P,280M,B3";24;https://www.safesave.info/MIC.php?id=Fajar-MotorList24;2023-11-21 08:29:05
EMO000438;Installed;FP-01-SP1-CPO-DKC2-P019;SP1.CP.DKC2/P2;10024161;"AC MOTOR;380V,50Hz,75kW,6P,280M,B3";25;https://www.safesave.info/MIC.php?id=Fajar-MotorList25;2023-11-21 08:29:06
EMO002909;Installed;FP-01-SP1-CPO-SR01;SP1.CP.PS(C)1/M;10010666;"AC MOTOR;380V,50Hz,55kW,6P,280SC,V5";26;https://www.safesave.info/MIC.php?id=Fajar-MotorList26;2023-11-21 08:29:07
EMO000443;Installed;FP-01-SP1-CPO-SR02;SP1.CP.JNS1/M;;"AC MOTOR;380V,50Hz,3.70kW,4P,112";27;https://www.safesave.info/MIC.php?id=Fajar-MotorList27;2023-11-21 08:29:08
EMO000445;Installed;FP-01-SP1-CPO-SR04;SP1.CP.PS(F)1/M;;"AC MOTOR;380V,50Hz,55kW,8P,315,V";28;https://www.safesave.info/MIC.php?id=Fajar-MotorList28;2023-11-21 08:29:09
EMO000446;Installed;FP-01-SP1-CPO-SR05;SP1.CP.PS(F)2/M;;"AC MOTOR;380V,50Hz,37kW,6P,250,V";29;https://www.safesave.info/MIC.php?id=Fajar-MotorList29;2023-11-21 08:29:10
