id;tag_name;created_at
FP-01-SP1-CPO-T002-P006;SP1.CP.C2/P1/M;2023-11-21 08:29:01
FP-01-SP1-CPO-T007-P203;SP1.CP.C6/P3/M;2023-11-21 08:29:02
FP-01-SP1-CPO-T007-P013;SP1.CP.C6/P2/M;2023-11-21 08:29:03
FP-01-SP1-CPO-DKC2;SP1.CP.DKC2/M;2023-11-21 08:29:04
FP-01-SP1-CPO-DKC2-P018;SP1.CP.DKC2/P1;2023-11-21 08:29:05
FP-01-SP1-CPO-DKC2-P019;SP1.CP.DKC2/P2;2023-11-21 08:29:06
FP-01-SP1-CPO-SR01;SP1.CP.PS(C)1/M;2023-11-21 08:29:07
FP-01-SP1-CPO-SR02;SP1.CP.JNS1/M;2023-11-21 08:29:08
FP-01-SP1-CPO-SR04;SP1.CP.PS(F)1/M;2023-11-21 08:29:09
FP-01-SP1-CPO-SR05;SP1.CP.PS(F)2/M;2023-11-21 08:29:10
FP-01-SP1-CPO-SR06;SP1.CP.PS(F)3/M;2023-11-21 08:29:11
FP-01-SP1-CPO-T001-P004;SP1.CP.C1.P1/M;2023-11-21 08:29:12
FP-01-SP1-MXW-T065-P086;SP1.MW.C1/P/M;2023-11-21 08:29:13
FP-01-SP1-CPO-T005-P009;SP1.CP.T3/P1/M;2023-11-21 08:29:14
;SP1.CP.T3/P2/M;2023-11-21 08:29:15
FP-01-SP1-CPO-T006-A002;SP1.CP.C4/AGT/M;2023-11-21 08:29:16
FP-01-SP1-CPO-T006-P011;SP1.CP.C4/P1/M;2023-11-21 08:29:17
FP-01-SP1-CPO-T007-P012;SP1.CP.C6/P1/M;2023-11-21 08:29:18
FP-01-SP1-CPO-T008-P014;SP1.CP.C7/P1/M;2023-11-21 08:29:19
FP-01-SP1-CPO-T009-P015;SP1.CP.C8/P1/M;2023-11-21 08:29:20
FP-01-SP1-CPO-T010-P016;SP1.CP.C17/P1/M;2023-11-21 08:29:21
FP-01-SP1-CPO-T011-P020;SP1.CP.T8/P1/M;2023-11-21 08:29:22
;SP1.CP.C10/P1/M;2023-11-21 08:29:23
FP-01-SP1-CPO-T013-P022;SP1.CP.C11/P1/M;2023-11-21 08:29:24
FP-01-SP1-CPO-T014-P023;SP1.CP.C12/P1/M;2023-11-21 08:29:25
;SP1.CP.C13/P2/M;2023-11-21 08:29:26
;SP1.CP.C14/AGT/M;2023-11-21 08:29:27
FP-01-SP1-CPO-T016-P027;SP1.CP.C14/P1/M;2023-11-21 08:29:28
FP-01-SP1-CPO-T017-A004;SP1.CP.C5/AGT1/M;2023-11-21 08:29:29
FP-01-SP1-CPO-T017-A005;SP1.CP.C5/AGT2/M;2023-11-21 08:29:30
FP-01-SP1-CPO-T017-P028;SP1.CP.C5/P1/M;2023-11-21 08:29:31
FP-01-SP1-CPO-T018-A006;SP1.CP.C5A/AGT1/M;2023-11-21 08:29:32
FP-01-SP1-CPO-T018-A007;SP1.CP.C5A/AGT2/M;2023-11-21 08:29:33
FP-01-SP1-CPO-T019-P030;SP1.CP.C16/P1/M;2023-11-21 08:29:34
FP-01-SP1-CPO-T020-A008;SP1.CP.C18/AGT/M;2023-11-21 08:29:35
FP-01-SP1-CPO-T022-P033;SP1.CP.T7/P1/M;2023-11-21 08:29:36
;SP1.CP.C15/P3/M;2023-11-21 08:29:37
;SP1.CP.T5/P1/M;2023-11-21 08:29:38
FP-01-SP1-CLD-TH21;SP1.CL.THK4/GB/M;2023-11-21 08:29:39
FP-01-CH7-STA-T119-A036;CH7.7CAS02/AGT/M;2023-11-21 08:29:40
FP-01-SP1-CPO-TH04;SP1.CP.THK3A/GB/M;2023-11-21 08:29:41
FP-01-SP1-CPO-TH03;SP1.CP.THK2B/GB/M;2023-11-21 08:29:42
