id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
EMO000576;FP-01-SP1-CPO-T002-P006;10010924;"AC MOTOR;380V,50Hz,15kW,4P,160L,B3";Install;SP1.CP.C2/P1/M;20;https://www.safesave.info/MIC.php?id=Fajar-MotorList20;
EMO000349;FP-01-SP1-CPO-T007-P203;;"AC MOTOR;380V,50Hz,45kW,4P,225M,B3";Install;SP1.CP.C6/P3/M;21;https://www.safesave.info/MIC.php?id=Fajar-MotorList21;
EMO000407;FP-01-SP1-CPO-T007-P013;10010560;"AC MOTOR;380V,50Hz,30kW,4P,200M,B3";Install;SP1.CP.C6/P2/M;22;https://www.safesave.info/MIC.php?id=Fajar-MotorList22;
EMO000436;FP-01-SP1-CPO-DKC2;;"AC MOTOR;380V,50Hz,0.11kW,4P,V";Install;SP1.CP.DKC2/M;23;https://www.safesave.info/MIC.php?id=Fajar-MotorList23;
EMO000435;FP-01-SP1-CPO-DKC2-P018;10024161;"AC MOTOR;380V,50Hz,75kW,6P,280M,B3";Install;SP1.CP.DKC2/P1;24;https://www.safesave.info/MIC.php?id=Fajar-MotorList24;
EMO000438;FP-01-SP1-CPO-DKC2-P019;10024161;"AC MOTOR;380V,50Hz,75kW,6P,280M,B3";Install;SP1.CP.DKC2/P2;25;https://www.safesave.info/MIC.php?id=Fajar-MotorList25;
EMO002909;FP-01-SP1-CPO-SR01;10010666;"AC MOTOR;380V,50Hz,55kW,6P,280SC,V5";Install;SP1.CP.PS(C)1/M;26;https://www.safesave.info/MIC.php?id=Fajar-MotorList26;
EMO000443;FP-01-SP1-CPO-SR02;;"AC MOTOR;380V,50Hz,3.70kW,4P,112";Install;SP1.CP.JNS1/M;27;https://www.safesave.info/MIC.php?id=Fajar-MotorList27;
EMO000445;FP-01-SP1-CPO-SR04;;"AC MOTOR;380V,50Hz,55kW,8P,315,V";Install;SP1.CP.PS(F)1/M;28;https://www.safesave.info/MIC.php?id=Fajar-MotorList28;
EMO000446;FP-01-SP1-CPO-SR05;;"AC MOTOR;380V,50Hz,37kW,6P,250,V";Install;SP1.CP.PS(F)2/M;29;https://www.safesave.info/MIC.php?id=Fajar-MotorList29;
EMO000447;FP-01-SP1-CPO-SR06;;"AC MOTOR;380V,50Hz,30kW,4P,200L,B";Install;SP1.CP.PS(F)3/M;30;https://www.safesave.info/MIC.php?id=Fajar-MotorList30;
EMO000382;FP-01-SP1-CPO-T001-P004;10010891;"AC MOTOR;380V,50Hz,37kW,4P,225S,B3";Install;SP1.CP.C1.P1/M;31;https://www.safesave.info/MIC.php?id=Fajar-MotorList31;
EMO000452;FP-01-SP1-MXW-T065-P086;10010668;"AC MOTOR;380V,50Hz,75kW,4P,250M,B3";Install;SP1.MW.C1/P/M;32;https://www.safesave.info/MIC.php?id=Fajar-MotorList32;
EMO000453;FP-01-SP1-CPO-T005-P009;;"AC MOTOR;380V,50Hz,22kW,4P,180L,B3";Install;SP1.CP.T3/P1/M;33;https://www.safesave.info/MIC.php?id=Fajar-MotorList33;
EMO000454;;10010883;"AC MOTOR;380V,50Hz,18.5kW,4P,180M,B3";Available;SP1.CP.T3/P2/M;34;https://www.safesave.info/MIC.php?id=Fajar-MotorList34;
