id;tag_name;created_at
FP-01-SP1-CPO-T002-P006;SP1.CP.C2/P1/M;
FP-01-SP1-CPO-T007-P203;SP1.CP.C6/P3/M;
FP-01-SP1-CPO-T007-P013;SP1.CP.C6/P2/M;
FP-01-SP1-CPO-DKC2;SP1.CP.DKC2/M;
FP-01-SP1-CPO-DKC2-P018;SP1.CP.DKC2/P1;
FP-01-SP1-CPO-DKC2-P019;SP1.CP.DKC2/P2;
FP-01-SP1-CPO-SR01;SP1.CP.PS(C)1/M;
FP-01-SP1-CPO-SR02;SP1.CP.JNS1/M;
FP-01-SP1-CPO-SR04;SP1.CP.PS(F)1/M;
FP-01-SP1-CPO-SR05;SP1.CP.PS(F)2/M;
FP-01-SP1-CPO-SR06;SP1.CP.PS(F)3/M;
FP-01-SP1-CPO-T001-P004;SP1.CP.C1.P1/M;
FP-01-SP1-MXW-T065-P086;SP1.MW.C1/P/M;
FP-01-SP1-CPO-T005-P009;SP1.CP.T3/P1/M;
;SP1.CP.T3/P2/M;
FP-01-SP1-CPO-T006-A002;SP1.CP.C4/AGT/M;
FP-01-SP1-CPO-T006-P011;SP1.CP.C4/P1/M;
FP-01-SP1-CPO-T007-P012;SP1.CP.C6/P1/M;
FP-01-SP1-CPO-T008-P014;SP1.CP.C7/P1/M;
FP-01-SP1-CPO-T009-P015;SP1.CP.C8/P1/M;
FP-01-SP1-CPO-T010-P016;SP1.CP.C17/P1/M;
FP-01-SP1-CPO-T011-P020;SP1.CP.T8/P1/M;
;SP1.CP.C10/P1/M;
FP-01-SP1-CPO-T013-P022;SP1.CP.C11/P1/M;
FP-01-SP1-CPO-T014-P023;SP1.CP.C12/P1/M;
;SP1.CP.C13/P2/M;
;SP1.CP.C14/AGT/M;
FP-01-SP1-CPO-T016-P027;SP1.CP.C14/P1/M;
FP-01-SP1-CPO-T017-A004;SP1.CP.C5/AGT1/M;
FP-01-SP1-CPO-T017-A005;SP1.CP.C5/AGT2/M;
FP-01-SP1-CPO-T017-P028;SP1.CP.C5/P1/M;
FP-01-SP1-CPO-T018-A006;SP1.CP.C5A/AGT1/M;
FP-01-SP1-CPO-T018-A007;SP1.CP.C5A/AGT2/M;
FP-01-SP1-CPO-T019-P030;SP1.CP.C16/P1/M;
FP-01-SP1-CPO-T020-A008;SP1.CP.C18/AGT/M;
FP-01-SP1-CPO-T022-P033;SP1.CP.T7/P1/M;
;SP1.CP.C15/P3/M;
;SP1.CP.T5/P1/M;
FP-01-SP1-CLD-TH21;SP1.CL.THK4/GB/M;
FP-01-CH7-STA-T119-A036;CH7.7CAS02/AGT/M;
FP-01-SP1-CPO-TH04;SP1.CP.THK3A/GB/M;
FP-01-SP1-CPO-TH03;SP1.CP.THK2B/GB/M;
FP-01-SP1-CPO-TH06;SP1.CP.THK4.C/SW(0)/GM/M;
FP-01-ACH-PV1-CN02;ACH.PV1/CN2/M;
FP-01-SP1-CPO-TH07;SP1.CP.THK4A/GB/M;
FP-01-SP1-CPO-TH07-CHMX;SP1.CP.CHM1/GB/M;
FP-01-SP1-CPO-TH08;SP1.CP.THK5B/GB/M;
FP-01-SP1-CPO-TH09;SP1.CP.THK5A/GB/M;
FP-01-SP1-CPO-DKC1-P017;SP1.CP.DKC1/P1/M;
FP-01-SP1-CPO-T018-P029;SP1.CP.C5A/P1/M;
FP-01-SP1-CPO-RF01;SP1.CP.SNF/M;
FP-01-SP1-UKP-T066-P087;SP1.UK.C2/P1/M;
FP-01-SP1-CPO-T001-A001;SP1.CP.C1/AGT/M;
FP-01-SP1-CPO-TH23-P205;SP1.CP.C9/P2/M;
FP-01-SP1-CPO-T023-P034;SP1.CP.C15/P1/M;
;SP2.OC.C5/P1/M;
;SP1.CP.C9/P1/M;
FP-01-SP1-CPO-TH23-P224;SP1.CP.C9/P3/M;
FP-01-SP1-CPO-T023-P035;SP1.CP.C15/P2/M;
FP-01-SP1-EFF-T379-P341;SP1.EFF/CPO_PIT_P/M;
FP-01-SP1-CPO-DKC1;SP1.CP.DKC1/M;
FP-01-SP1-CPO-SR03;SP1.CP.PS(C)2/M;
FP-01-SP1-CPO-SR41;SP1.CP.PS(FIL)/M;
FP-01-SP1-CPO-T273-P353;SP1.CPO.T9/P1/M;
FP-01-SP1-CLD-T081-A031;SP1.CL.C10/AGT/M;
FP-01-SP1-CLD-T087-A033;SP1.CL.C16/AGT/M;
FP-01-SP1-CLD-DSP2-IE2A;SP1.CL.DSP/IE2A/GB/M;
FP-01-SP1-CLD-CN08;SP1.CON8/GB/M;
FP-01-SP1-CLD-DKC3-P106;SP1.CL.DKC1/P1/M;
FP-01-SP1-CLD-DKC4-P107;SP1.CL.DKC2/P1/M;
FP-01-SP1-CLD-DSP2-CHMX;SP1.CL.DSP/CHM/GB/M;
FP-01-SP1-CLD-DSP2;SP1.CL.DSP/GB/M;
FP-01-SP1-CLD-DSP2-IE1A;SP1.CL.DSP/IE1A/GB/M;
FP-01-SP1-CLD-DSP2-IE1B;SP1.CL.DSP/IE1B/GB/M;
FP-01-SP1-CLD-DSP2-IE2B;SP1.CL.DSP/IE2B/GB/M;
;SP1.CL.DSP/IE2C/GB/M;
FP-01-SP1-ONP-T027-P039;SP1.ON.C1/P1/M;
FP-01-SP1-CLD-PU08;SP1.PUL8/GB/M;
FP-01-SP1-CLD-PU08-P093;SP1.PUL8/P1/M;
FP-01-SP1-CLD-SR20;SP1.CL.ADS1/M;
FP-01-SP1-CLD-SR21;SP1.CL.JNS1/M;
FP-01-SP1-CLD-SR23;SP1.CL.PS(C)1/M;
FP-01-SP1-CLD-SR25;SP1.CL.PS(F)1/M;
FP-01-SP1-CLD-SR26;SP1.CL.PS(F)2/M;
FP-01-SP1-CLD-SR27;SP1.CL.PS(F)3/M;
FP-01-SP1-CLD-T075-A027;SP1.CL.C4/AGT/M;
FP-01-WW1-SLD-BP01;WW1.SLD.BNP1/M;
FP-01-SP1-CLD-T076-P098;SP1.CL.C5/P1/M;
;SP1.CL.C6/P1/M;
;SP1.CL.C7/P2/M;
FP-01-SP1-CLD-T078-P102;SP1.CL.C7/P3/M;
FP-01-PM2-AP2-T056-P072;PM2.APP2.T4/P1/M;
;SP1.CL.C10/P1/M;
;SP1.CL.C13/P1/M;
;SP1.CL.C17/P1/M;
FP-01-SP1-CLD-T084-P114;SP1.CL.C17/P2/M;
FP-01-SP1-CLD-T084-P115;SP1.CL.C17/P3/M;
FP-01-SP1-CLD-T085-P116;SP1.CL.C14/P1/M;
;SP1.CL.C15/P1/M;
;PM1.COT.BMB/BKR/GB/M;
FP-01-PM1-AP5-T174-P193;PM1.APP5.T2/P1/M;
FP-01-SP1-CLD-T089-P109;SP1.CL.T2/P1/M;
FP-01-SP2-NDL-TH04;SP2.ND.THK(LF)1/GB/M;
FP-01-SP1-CLD-TH19;SP1.CL.THK2/GB/M;
;SP1.CL.THK3/GB/M;
FP-01-SP1-CLD-TH21;SP1.CL.THK4/SW(O)/M;
;SP1.CL.THK4/GB/M;
FP-01-SP7-OCC-TH03;CON DSF/M;
;SP1.CL.C1/P1/M;
FP-01-SP1-CLD-TH21-P119;SP1.CL.THK4/P1/M;
FP-01-PM1-AP5-SR32;PM1.APP5.PS1/M;
FP-01-SP1-CLD-T078-P100;SP1.CL.C7/P1/M;
FP-01-SP1-CLD-T079-P103;SP1.CL.C8/P1/M;
;SP1.CL.C4/P1/M;
;SP1.CL.DKC3/P1/M;
FP-01-SP2-NDL-T022-P033;SP2.ND.T2A/P1/M;
FP-01-SP1-CLD-T073-A025;SP1.CL.C2/AGT/M;
FP-01-PM2-AP3-T058-A023;PM2.APP3.C1/AGT/M;
FP-01-SP1-CLD-T086-A032;SP1.CL.C15/AGT/M;
FP-01-SP1-CLD-T090-P112;SP1.CL.T3/P1/M;
;SP1.CL.C5/AGT2/M;
FP-01-SP1-MXW-T050-P064;SP1.MW.C4/P2/M;
FP-01-SP1-CLD-T072-A024;SP1.CL.C1/AGT/M;
FP-01-SP1-MXW-T050-P057;SP1.MW.C4/P6/M;
FP-01-PM1-AP3-T160-P177;PM1.APP3.C(MC)/P1/M;
;SP1.MW.VS2/P1/M;
FP-01-SP1-MXW-DSP1;SP1.MW.DSP1/M;
FP-01-SP1-MXW-RF04;SP1.MW.DDR1/M;
FP-01-SP1-MXW-SR12;SP1.MW.PS(C)1/M;
FP-01-SP1-MXW-SR13;SP1.MW.FRAC/M;
