transformer_detail;power_rate;power_unit;primary_voltage;secondary_voltage;primary_current;secondary_current;primary_connection_type;secondary_connection_type;type;manufacturer;year_of_manufacture;serial_number;vector_group;frequency;insulation_class;type_of_cooling;temp_rise_oil_winding;weight;weight_of_oil;oil_type;ip_rating
ETF000085;50000;kVA;150000;20000;192;1443;Delta;Star;Step Down;Unindo;2012;P050LEC692;Ynyn 0 + d;50;;ONAN/ONAF;;;71500;;
ETF000027;45000;kVA;11000;20000;2362;1237.2;;;Step Up;Pauwels Trafo;1995;94.4.6289;Ynd1;50;;ONAN/ONAF 80/100%;;;8800;;
ETF000060;45000;kVA;11000;20000;2362.5;1237.2;;;Step Up;Pauwels Trafo;2006;0510063;Ynd1;50;;ONAN/ONAF 80/100%;;;8470;;
ETF000026;1000;kVA;20000;400;28.87;1443;;;Step Up;Pauwels Trafo;1995;3417186;Dyn11;50;;ONAN;;;510;;
ETF000059;2500;kVA;20000;400;72.17;3608.44;;;Step Up;Trafindo;2005;05331629;Dyn5;50;;ONAN;;;;;
ETF000120;3000;kVA;20000;400;86.6;4330;;;Step Up;Schneider;2016;33162210003;Dyn5;50;;ONAN;;;1815;;
ETF000123;2500;kVA;20000;400;72.7;3608;;;Step Down;Unindo;1997;58201;Dyn5;50;;ESSO 80;;;5750;;
ETF000006;3000;kVA;20000;400;86.6;4330.1;;;Step Down;Trafindo;2010;10338949;Dyn5;50;;ONAN;;;;;
ETF000032;2500;kVA;20000;400;72.1;3608.4;;;Step Down;Unindo;1994;60952;Dyn5;50;;ONAN;;;5750;;
ETF000091;55000;kVA;380;66000;;;;;Step Up;Fujian Longking;2011;2011466;Not Yet;50;;Not Yet;;;;;
ETF000092;55000;kVA;380;66000;;;;;Step Up;Fujian Longking;2011;2011465;Not Yet;50;;Not Yet;;;;;
ETF000093;55000;kVA;380;66000;;;;;Step Up;Fujian Longking;2011;2011464;Not Yet;50;;Not Yet;;;;;
ETF000105;55000;kVA;380;66000;;;;;Step Up;Fujian Longking;2015;2015535;Not Yet;50;;Not Yet;;;;;
ETF000106;55000;kVA;380;66000;;;;;Step Up;Fujian Longking;2015;2015534;Not Yet;50;;Not Yet;;;;;
ETF000107;55000;kVA;380;66000;;;;;Step Up;Fujian Longking;2015;2015533;Not Yet;50;;Not Yet;;;;;
ETF000108;55000;kVA;380;66000;;;;;Step Up;Fujian Longking;2015;;Not Yet;50;;Not Yet;;;;;
ETF000109;55000;kVA;380;66000;;;;;Step Up;Fujian Longking;2015;;Not Yet;50;;Not Yet;;;;;
ETF000110;55000;kVA;380;66000;;;;;Step Up;Fujian Longking;2015;;Not Yet;50;;Not Yet;;;;;
ETF000113;75000;kVA;10500;22000;3299;1575;;;Step Up;Schneider;2017;M-377;Ynd1;50;;ONAN/ONAF;;;80000;;
ETF000111;12000;kVA;22000;3150;314.9;2199.4;;;Step Down;Schneider;2016;M-378;Dd0;50;;ONAN/ONAF;;;25800;;
ETF000112;12000;kVA;10500;3150;659.8;2199.4;;;Step Down;Schneider;2016;M-380;Dd0;50;;ONAN/ONAF;;;22000;;
ETF000114;2500;kVA;3000;400;3608.4;1575;;;Step Down;Schneider;2016;33162210001;Dyn11;50;;ONAN/ONAF;;;5500;;
ETF000115;2500;kVA;3000;400;3608.4;1575;;;Step Down;Schneider;2016;3316221002;Dyn11;50;;ONAN/ONAF;;;5500;;
ETF000124;3000;kVA;20000;400;86.60;4330.13;;;Step Up;TRAFINDO;2018;081305930;Dyn5;50;;ONAN;;;7330;;
ETF000125;3000;kVA;20000;400;86.6;4330;;;Step Down;Trafindo;2001;0230005;Dyn5;50;;ONAN/ONAF;;;2060;;
ETF000126;400;kVA;20000;400;20.99;577.35;;;Step Up;OCREV;2005;64754;Dyn11;50;;AN;;;;;
