id;status;funcloc;sort_field;material_number;equipment_description;unique_id;qr_code_link;created_at
ETF000085;Installed;FP-01-IN1;TR PLN ;;TR PLN ;1;id=Fajar-TrafoList1;2023-11-21 19:23:01
ETF000027;Installed;FP-01-ENC-TRF-PLN1;TR GTG #1;;TR GTG #1;2;id=Fajar-TrafoList2;2023-11-21 19:23:02
ETF000060;Installed;FP-01-GT1-TRF-PWP1;TR GTG #2;;TR GTG #2;3;id=Fajar-TrafoList3;2023-11-21 19:23:03
ETF000026;Installed;FP-01-GT2-TRF-PWP2;TR AUX GTG #1 lama;;TR AUX GTG #1 lama;4;id=Fajar-TrafoList4;2023-11-21 19:23:04
ETF000059;Installed;FP-01-GT1;TR AUX GTG #2;;TR AUX GTG #2;5;id=Fajar-TrafoList5;2023-11-21 19:23:05
ETF000120;Installed;FP-01-GT2-TRF-UTY2;TR AUX GTG #1 Baru;;TR AUX GTG #1 Baru;6;id=Fajar-TrafoList6;2023-11-21 19:23:06
ETF000123;Installed;FP-01-GT1-TRF-UTY1;TR INCHENERATOR#1;;TR INCHENERATOR#1;7;id=Fajar-TrafoList7;2023-11-21 19:23:07
ETF000006;Installed;FP-01-IN1-TRF;TR INCHENERATOR#2;;TR INCHENERATOR#2;8;id=Fajar-TrafoList8;2023-11-21 19:23:08
ETF000032;Installed;FP-01-IN2-TRF;TR WWT;;TR WWT;9;id=Fajar-TrafoList9;2023-11-21 19:23:09
ETF000091;Installed;FP-01-IN1;TRAFO ESP BOILER 3 NO.1;;"TRAFO STEP UP;380/66KV,ESP 55 KVA,NO.1  ESP CGB  (Boiler 3";10;id=Fajar-TrafoList10;2023-11-21 19:23:10
ETF000092;Installed;FP-01-CFB-CSD-ESPR;TRAFO ESP BOILER 3 NO.2;;"TRAFO STEP UP;380/66KV,ESP 55 KVA,NO.2 ESP CGB  (Boiler 3";11;id=Fajar-TrafoList11;2023-11-21 19:23:11
ETF000093;Installed;FP-01-CFB-CSD-ESPR;TRAFO ESP BOILER 3 NO.3;;"TRAFO STEP UP;380/66KV,ESP 55 KVA,NO.3 ESP CGB  (Boiler 3";12;id=Fajar-TrafoList12;2023-11-21 19:23:12
ETF000105;Installed;FP-01-CFB-CSD-ESPR;TRAFO ESP BOILER 5 NO.1;;"TRAFO STEP UP;380/66KV,ESP 55 KVA,NO.1  ESP CGB  (Boiler 5";13;id=Fajar-TrafoList13;2023-11-21 19:23:13
ETF000106;Installed;FP-01-GT3-BO5-CNSY-ESPR;TRAFO ESP BOILER 5 NO.2;;"TRAFO STEP UP;380/66KV,ESP 55 KVA,NO.2 ESP CGB  (Boiler 5";14;id=Fajar-TrafoList14;2023-11-21 19:23:14
ETF000107;Installed;FP-01-GT3-BO5-CNSY-ESPR;TRAFO ESP BOILER 5 NO.3;;"TRAFO STEP UP;380/66KV,ESP 55 KVA,NO.3 ESP CGB  (Boiler 5";15;id=Fajar-TrafoList15;2023-11-21 19:23:15
ETF000108;Installed;FP-01-GT3-BO5-CNSY-ESPR;TRAFO ESP BOILER 6 NO.1;;"TRAFO STEP UP;380/66KV,ESP 55 KVA,NO.1  ESP CGB  (Boiler 6";16;id=Fajar-TrafoList16;2023-11-21 19:23:16
ETF000109;Installed;FP-01-GT3-BO6-CNSY-ESPR;TRAFO ESP BOILER 6 NO.2;;"TRAFO STEP UP;380/66KV,ESP 55 KVA,NO.2 ESP CGB  (Boiler 6";17;id=Fajar-TrafoList17;2023-11-21 19:23:17
ETF000110;Installed;FP-01-GT3-BO6-CNSY-ESPR;TRAFO ESP BOILER 6 NO.3;;"TRAFO STEP UP;380/66KV,ESP 55 KVA,NO.3 ESP CGB  (Boiler 6";18;id=Fajar-TrafoList18;2023-11-21 19:23:18
ETF000113;Installed;FP-01-GT3-BO6-CNSY-ESPR;TR GT3 STEP-UP ;;TR GT3 STEP-UP ;19;id=Fajar-TrafoList19;2023-11-21 19:23:19
ETF000111;Installed;FP-01-GT3-TRB-TRF1;TR START/STANBY;;TR START/STANBY;20;id=Fajar-TrafoList20;2023-11-21 19:23:20
ETF000112;Installed;FP-01-GT3-TRB-TRF1;TR AUXILIARY;;TR AUXILIARY;21;id=Fajar-TrafoList21;2023-11-21 19:23:21
ETF000114;Installed;FP-01-GT3-TRB-TRF1;TR AUX MV-LV #1;;TR AUX MV-LV #1;22;id=Fajar-TrafoList22;2023-11-21 19:23:22
ETF000115;Installed;FP-01-GT3-TRB-TRF1;TR AUX MV-LV #2;;TR AUX MV-LV #2;23;id=Fajar-TrafoList23;2023-11-21 19:23:23
ETF000124;Installed;FP-01-GT3-TRB-TRF1;INCI # 1 (New);;INCI # 1 (New);24;id=Fajar-TrafoList24;2023-11-21 19:23:24
ETF000125;Installed;FP-01-IN1;WT-1;;WT-1;25;id=Fajar-TrafoList25;2023-11-21 19:23:25
ETF000126;Installed;FP-01-IN1;TRAFO MV CELL;;TRAFO MV CELL;26;id=Fajar-TrafoList26;2023-11-21 19:23:26
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
